time="2024-05-09T01:21:25.443" level=info msg="Starting kbench..."
time="2024-05-09T01:21:25.448" level=info msg="Created a new Pod manager."
time="2024-05-09T01:21:25.469" level=warning msg="Fail to create namespace kbench-pod-namespace, object is being deleted: namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-09T01:40:38.516" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:41.521" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:41.521" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:44.527" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:44.527" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:47.532" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:47.532" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:50.538" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:50.538" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:53.544" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:53.544" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:56.549" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:56.549" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:40:59.553" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:40:59.553" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:02.559" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:02.559" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:05.564" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:05.564" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:08.570" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:08.570" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:11.575" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:11.575" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:14.579" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:14.579" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:17.585" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:17.585" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:20.590" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:20.590" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:23.595" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:23.595" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:26.600" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:41:26.600" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:41:29.603" level=info msg="Predicate processing timed out, continue the operation..."
time="2024-05-09T01:41:29.603" level=info msg="Performing pod actions in operation 1"
time="2024-05-09T01:41:29.603" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:29.609" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:34.609" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:34.609" level=info msg="Performing pod actions in operation 2"
time="2024-05-09T01:41:34.609" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:34.616" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:39.620" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:39.620" level=info msg="Performing pod actions in operation 3"
time="2024-05-09T01:41:39.620" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:39.626" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:44.628" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:44.628" level=info msg="Performing pod actions in operation 4"
time="2024-05-09T01:41:44.629" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:44.634" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:49.636" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:49.637" level=info msg="Performing pod actions in operation 5"
time="2024-05-09T01:41:49.637" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:49.643" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:54.643" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:54.643" level=info msg="Performing pod actions in operation 6"
time="2024-05-09T01:41:54.644" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:54.650" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:41:59.654" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:41:59.654" level=info msg="Performing pod actions in operation 7"
time="2024-05-09T01:41:59.654" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:41:59.659" level=info msg="Sleep 5000 mili-seconds after RUN action"
time="2024-05-09T01:42:04.662" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:42:04.662" level=info msg="Performing pod actions in operation 8"
time="2024-05-09T01:42:04.662" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:42:04.668" level=info msg="Sleep 20000 mili-seconds after COPY action"
time="2024-05-09T01:42:24.671" level=info msg="All operations completed."
time="2024-05-09T01:42:24.671" level=info msg="**********************************************************************************************"
time="2024-05-09T01:42:24.671" level=info msg="**************************************** Pod Results ****************************************"
time="2024-05-09T01:42:24.671" level=info msg="**********************************************************************************************"
time="2024-05-09T01:42:24.671" level=info msg="------------------------------------ Pod Operation Summary -----------------------------------"
time="2024-05-09T01:42:24.672" level=info msg="Number of valid pod creation requests:             0         "
time="2024-05-09T01:42:24.672" level=info msg="Number of created pods:                            0         "
time="2024-05-09T01:42:24.672" level=info msg="Number of scheduled pods:                          0         "
time="2024-05-09T01:42:24.672" level=info msg="Number of initialized pods:                        0         "
time="2024-05-09T01:42:24.672" level=info msg="Number of started pods:                            0         "
time="2024-05-09T01:42:24.672" level=info msg="Number of running pods:                            0         "
time="2024-05-09T01:42:24.672" level=info msg="Pod creation throughput (pods/minutes):            NaN       "
time="2024-05-09T01:42:24.672" level=info msg="Pod creation average latency:                      NaN       "
time="2024-05-09T01:42:24.672" level=info msg="--------------------------------- Pod Startup Latencies (ms) ---------------------------------"
time="2024-05-09T01:42:24.672" level=info msg="                                                   median     min        max        99%       "
time="2024-05-09T01:42:24.672" level=info msg="Pod creation latency stats (server):               ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod scheduling latency stats (server):             ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod image pulling latency stats (server):          ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod starting latency stats (server):               ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod startup total latency (server):                ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod client-server e2e latency (create-to-ready):   ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod scheduling latency stats (client):             ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod initialization latency on kubelet (client):    ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod starting latency stats (client):               ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="Pod startup total latency (client):                ---        ---        ---        ---       "
time="2024-05-09T01:42:24.672" level=info msg="--------------------------------- Pod API Call Latencies (ms) --------------------------------"
time="2024-05-09T01:42:24.672" level=info msg="                                                   median     min        max        99%       "
time="2024-05-09T01:42:24.672" level=info msg="run pod latency:                                   0          0          0          0         "
time="2024-05-09T01:42:24.672" level=info msg="copy pod latency:                                  0          0          0          0         "
time="2024-05-09T01:42:24.672" level=info msg="Pod Creation Success Rate: 0 %"
time="2024-05-09T01:42:24.672" level=info msg="Benchmark run completed."
